"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
sataq_athletic,sataq,"Please read each of the following items carefully and indicate the answer that best reflects your agreement with the statement.",radio,"It is important for me to look athletic.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_muscular,sataq,,radio,"I think a lot about looking muscular.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_thin,sataq,,radio,"I want my body to look very thin.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_no_fat,sataq,,radio,"I want my body to look like it has little fat.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_look_thin,sataq,,radio,"I think a lot about looking thin.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_look_athletic,sataq,,radio,"I spend a lot of time doing things to look more athletic.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_think_athletic,sataq,,radio,"I think a lot about looking athletic","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_look_lean,sataq,,radio,"I want my body to look very lean.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_little_fat,sataq,,radio,"I think a lot about having very little body fat.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_look_muscular,sataq,,radio,"I spend a lot of time doing things to look more muscular.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_family_thin,sataq,"Answer the following questions with relevance to your Family (include: parents, brothers, sisters, relatives).",radio,"I feel pressure from family members to look thinner.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_family_improve,sataq,,radio,"I feel pressure from family members to improve my appearance.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_family_fat,sataq,,radio,"Family members encourage me to decrease my level of body fat.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_family_shape,sataq,,radio,"Family members encourage me to get in better shape.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_peer_thin,sataq,"Answer the following questions with relevance to your Peers (include, close friends, classmates, other social contacts).",radio,"My peers encourage me to get thinner.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_peer_improve,sataq,,radio,"I feel pressure from my peers to improve my appearance.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_peer_shape,sataq,,radio,"I feel pressure from my peers to look in better shape.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_peer_body_fat,sataq,,radio,"I get pressure from my peers to decrease my level of body fat.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_media_shape,sataq,"Answer the following questions with relevance to the Media (include: television, magazines, the Internet, movies, billboards, and advertisements).",radio,"I feel pressure from the media to look in better shape. ","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_media_thin,sataq,,radio,"I feel pressure from the media to look thinner.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_media_look,sataq,,radio,"I feel pressure from the media to improve my appearance.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
sataq_media_fat,sataq,,radio,"I feel pressure from the media to decrease my level of body fat.","1, Definitely Disagree | 2, Mostly Disagree | 3, Neither Agree Nor Disagree | 4, Mostly Agree | 5, Definitely Agree",,,,,,,y,,,,,
ed100k_record_id,ed_100k,,text,"Record ID",,,,,,,,,,,,," @WORDLIMIT=""1""
@HIDDEN-SURVEY"
ed100k_age,ed_100k,,calc,"<div class=""rich-text-field-label""><p>Participants current age</p></div>","rounddown(datediff([dcf_age], [dcf_date], 'y'))",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_ethnicity,ed_100k,,dropdown,"What is your ethnicity?","1, Hispanic | 2, Non-Hispanic | -9, Prefer not to answer",,,,,,,,,,,,
ed100k_height,ed_100k,,dropdown,"How tall are you now?","48, 4'0"" (122 cm) | 49, 4'1"" (124 cm) | 50, 4'2"" (127 cm) | 51, 4'3"" (130 cm) | 52, 4'4"" (132 cm) | 53, 4'5"" (135 cm) | 54, 4'6"" (137 cm) | 55, 4'7"" (140 cm) | 56, 4'8"" (142 cm) | 57, 4'9"" (145 cm) | 58, 4'10"" (147 cm) | 59, 4'11"" (150 cm) | 60, 5'0"" (152 cm) | 61, 5'1"" (155 cm) | 62, 5'2"" (158 cm) | 63, 5'3"" (160 cm) | 64, 5'4"" (163 cm) | 65, 5'5"" (165 cm) | 66, 5'6"" (168 cm) | 67, 5'7"" (170 cm) | 68, 5'8"" (173 cm) | 69, 5'9"" (175 cm) | 70, 5'10"" (178 cm) | 71, 5'11"" (180 cm) | 72, 6'0"" (183 cm) | 73, 6'1"" (185 cm) | 74, 6'2"" (188 cm) | 75, 6'3"" (191 cm) | 76, 6'4"" (193 cm) | 77, 6'5"" (196 cm) | 78, 6'6"" (198 cm) | 79, 6'7"" (200 cm) | 80, 6'8"" (203 cm) | 81, 6'8"" (206 cm) | 82, 6'10"" (208 cm) | 83, 6'11"" (211 cm) | 84, 7'0"" (213 cm)",,,,,,,,,,,,
ed100k_wt_current,ed_100k,,text,"How much do you currently weigh? ",,,integer,50,300,,,,,,,,
ed100k_lbs_kg,ed_100k,,radio,"Did you answer the Previous question in Pounds or Kilograms?","1, Pounds | 2, Kilograms",,,,,,,y,,,,,
ed100k_wt_current_correct,ed_100k,,calc,"Corrected weight.","if([ed100k_lbs_kg]=2,[ed100k_wt_current]*2.2046,[ed100k_wt_current])",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_currentbmi,ed_100k,,calc,"Current BMI",round(703*[ed100k_wt_current_correct]/([ed100k_height]*[ed100k_height])),,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_wt_hi_lb,ed_100k,,text,"What is the most you have ever weighed (except during pregnancy, if applicable)? (Pounds)",,,integer,50,500,,,,,,,,
ed100k_most_lbs_kg,ed_100k,,radio,"Did you answer the Previous question in Pounds or Kilograms?","1, Pounds | 2, Kilograms",,,,,,,y,,,,,
ed100k_age_hitwt,ed_100k,,text,"How old were you when you were at your highest weight? (Years)",,,integer,0,120,,,,,,,,
ed100k_menarche,ed_100k,,text,"How old were you when you had your first period? (Years)",,,integer,0,120,,,,,,,,
ed100k_poss_ed,ed_100k,,dropdown,"Have you ever suspected that you may have an eating disorder, whether or not you were ever diagnosed?","1, Yes | 0, No | -9, Not sure",,,,,,,,,,,,
ed100k_edtreat,ed_100k,,dropdown,"Have you ever received treatment for an eating disorder?","1, Yes | 0, No",,,,,,,,,,,,
ed100k_edtreat_dis,ed_100k,,checkbox,"Which of the following eating disorders did you have?","1, anorexia nervosa | 2, bulimia nervosa | 3, binge-eating disorder | 4, avoidant restrictive food intake disorder (ARFID) | 5, atypical anorexia nervosa | 6, purging disorder | 7, night-eating syndrome | 98, Other specified feeding or eating disorder (OSFED or EDNOS) | 99, Other eating disorder | -9, Don't know / Prefer not to answer",,,,,,"[ed100k_edtreat] = '1' or [ed100k_poss_ed] = '1'",,,,,,
ed100k_surgery,ed_100k,,checkbox,"Have you ever had any of the following surgical procedures?","1, Roux-en-Y gastric bypass | 2, Laparoscopic adjustable gastric banding | 3, Sleeve gastrectomy | 4, Duodenal switch with biliopancreatic diversion | 5, Aspire assist | 6, Other gastrointestinal or weight loss surgery not listed here | 0, I have never had a weight loss surgery",,,,,,,,,,,,
ed100k_surgery_other,ed_100k,,text,"If you selected other weight loss surgery above, please describe what surgery you had.",,,,,,,"[ed100k_surgery(6)] = '1'",,,,,,
ed100k_wt_low,ed_100k,,text,"What is the least you have ever weighed since reaching your adult height?",,,integer,50,3000,,"[ed100k_age] >= 18",,,,,,
ed100k_lbs_kg_low,ed_100k,,radio,"Did you answer the Previous question in Pounds or Kilograms?","1, Pounds | 2, Kilograms",,,,,,[ed100k_age]>=18,y,,,,,
ed100k_wt_low_correct,ed_100k,,calc,"Corrected lowest weight","if([ed100k_lbs_kg_low]=2,[ed100k_wt_low]*2.2046,[ed100k_wt_low])",,,,,,,,,,,,
ed100k_lowestadultbmi,ed_100k,,calc,"Lowest Adult BMI",round(703*[ed100k_wt_low_correct]/([ed100k_height]*[ed100k_height])),,,,,,"[ed100k_age] >= 18",,,,,," @HIDDEN-SURVEY"
ed100k_wt_lo_age,ed_100k,,text,"How old were you when you were at your lowest weight at your adult height? (Years)",,,integer,0,120,,"[ed100k_age] >= 18",,,,,,
ed100k_underwt_past,ed_100k,,dropdown,"Have you ever had a period of time when you weighed much less than other people thought you ought to weigh?","1, Yes | 0, No | -9, Not sure",,,,,,,,,,,,
ed100k_sig_weightloss,ed_100k,,yesno,"Has there ever been a time when you lost a significant amount of weight (i.e. more than 10lb) in a short period of time (less than 6 months)?",,,,,,,"[ed100k_underwt_past] = '0'",,,,,,
ed100k_weightloss,ed_100k,,text,"How much weight did you lose during that time? (Pounds)",,,number,1,200,,"[ed100k_sig_weightloss] = '1'",,,,,,
ed100k_lbs_kg_loss,ed_100k,,radio,"Did you answer the Previous question in Pounds or Kilograms?","1, Pounds | 2, Kilograms",,,,,,"[ed100k_sig_weightloss] = '1'",y,,,,,
ed100k_weightloss_correct,ed_100k,,calc,"Significant weight loss amount corrected","if([ed100k_lbs_kg_loss]=2,[ed100k_weightloss]*2.2046,[ed100k_weightloss])",,,,,,"[ed100k_sig_weightloss] = ""1""",,,,,," @HIDDEN-SURVEY"
ed100k_an_lable,ed_100k,,descriptive,Anorexia,,,,,,,,,,,,," @HIDDEN_SURVEY"
ed100k_other_ill,ed_100k,,dropdown,"When you weighed much less than other people thought you ought to weigh or were at a low weight, was this due to an illness other than an eating disorder?","1, Yes | 0, No | -9, Not sure",,,,,,"[ed100k_underwt_past] = '1' or [ed100k_sig_weightloss] = '1'",,,,,,
ed100k_illness,ed_100k,,text,"What was the illness?",,,,,,,"[ed100k_other_ill] = '1'",,,,,,
ed100k_wt_an,ed_100k,,text,"How low did your weight get during this time? ",,,integer,50,300,,"[ed100k_underwt_past] = '1' or [ed100k_sig_weightloss] = '1'",,,,,,
ed100k_lbs_kg_an,ed_100k,,radio,"Did you answer the Previous question in Pounds or Kilograms?","1, Pounds | 2, Kilograms",,,,,,"[ed100k_underwt_past] = '1' or [ed100k_sig_weightloss] = '1'",y,,,,,
ed100k_wt_an_correct,ed_100k,,calc,"Corrected AN weight","if([ed100k_lbs_kg_an]=2,[ed100k_wt_an]*2.2046,[ed100k_wt_an])",,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_age_lowt,ed_100k,,text,"How old were you then?",,,integer,0,100,,"[ed100k_underwt_past] = '1' or [ed100k_sig_weightloss] = '1'",,,,,,
ed100k_ht_low,ed_100k,,dropdown,"How tall were you then?","48, 4'0"" (122 cm) | 49, 4'1"" (124 cm) | 50, 4'2"" (127 cm) | 51, 4'3"" (130 cm) | 52, 4'4"" (132 cm) | 53, 4'5"" (135 cm) | 54, 4'6"" (137 cm) | 55, 4'7"" (140 cm) | 56, 4'8"" (142 cm) | 57, 4'9"" (145 cm) | 58, 4'10"" (147 cm) | 59, 4'11"" (150 cm) | 60, 5'0"" (152 cm) | 61, 5'1"" (155 cm) | 62, 5'2"" (158 cm) | 63, 5'3"" (160 cm) | 64, 5'4"" (163 cm) | 65, 5'5"" (165 cm) | 66, 5'6"" (168 cm) | 67, 5'7"" (170 cm) | 68, 5'8"" (173 cm) | 69, 5'9"" (175 cm) | 70, 5'10"" (178 cm) | 71, 5'11"" (180 cm) | 72, 6'0"" (183 cm) | 73, 6'1"" (185 cm) | 74, 6'2"" (188 cm) | 75, 6'3"" (191 cm) | 76, 6'4"" (193 cm) | 77, 6'5"" (196 cm) | 78, 6'6"" (198 cm) | 79, 6'7"" (200 cm) | 80, 6'8"" (203 cm) | 81, 6'8"" (206 cm) | 82, 6'10"" (208 cm) | 83, 6'11"" (211 cm) | 84, 7'0"" (213 cm)",,,,,,"[ed100k_underwt_past] = '1' or [ed100k_sig_weightloss] = '1'",,,,,,
ed100k_an_bmi,ed_100k,,calc,"AN BMI","round((703*[ed100k_wt_an_correct])/([ed100k_ht_low]*[ed100k_ht_low]),2)",,,,,,"[ed100k_underwt_past] = '1' or [ed100k_sig_weightloss] = '1'",,,,,," @HIDDEN-SURVEY"
ed100k_feel_fat,ed_100k,,dropdown,"During the time when you were at this low weight, did you still feel fat?","1, No | 2, Slightly | 3, Somewhat | 4, Very | 5, Extremely | -9, Don't know/Prefer not to answer",,,,,,"[ed100k_underwt_past] = '1' or [ed100k_sig_weightloss] = '1'",,,,,,
ed100k_afraid_gain,ed_100k,,dropdown,"During the time when you were at this low weight, how afraid were you that you might gain weight or become fat?","1, Not afraid | 2, Slightly afraid | 3, Somewhat afraid | 4, Very afraid | 5, Extremely afraid | -9, Don't know/ Prefer not to answer",,,,,,"[ed100k_underwt_past] = '1' or [ed100k_sig_weightloss] = '1'",,,,,,
ed100k_an_dur_1,ed_100k,,dropdown,"How long did you have anorexia nervosa or were at this low weight?","1, 1 to 6 months | 2, 7 to 11 months | 3, 1 year to 2 years | 4, More than 2 years",,,,,,"[ed100k_underwt_past] = '1' or [ed100k_sig_weightloss] = '1'",,,,,,
ed100k_an_dur_2,ed_100k,,text,"How many years?",,,integer,0,100,,"[ed100k_an_dur_1] = '4'",,,,,,
ed100k_selfworth_low,ed_100k,"During the time when you were at this low weight, how dependent was your self-worth on your body shape or weight?",radio,"Self Worth","1, Not at all dependent | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, Completely dependent",,,,,,"[ed100k_underwt_past] = '1' or [ed100k_sig_weightloss] = '1'",,,,ed100k_selfworth_lowt,,
ed100k_negconseq,ed_100k,,dropdown,"Did you ever think your low weight had negative consequences for your health?","1, Not at all | 2, Somewhat | 3, Very Much | -9, Don't know",,,,,,"[ed100k_underwt_past] = '1' or [ed100k_sig_weightloss] = '1'",,,,,,
ed100k_bigbody,ed_100k,,dropdown,"During the time when you were at this low weight, did you ever experience your body or parts of your body to be larger than they actually were or than other people thought they were?","1, Not at all | 2, Somewhat | 3, Very Much | -9, Don't know",,,,,,"[ed100k_underwt_past] = '1' or [ed100k_sig_weightloss] = '1'",,,,,,
ed100k_had_mens,ed_100k,,dropdown,"Before this time, had your periods already started?","1, Yes | 0, No | -9, Don't know",,,,,,"[ed100k_underwt_past] = '1' or [ed100k_sig_weightloss] = '1'",,,,,,
ed100k_stop_mens,ed_100k,,dropdown,"Did your periods stop at any time when you were at low weight?","1, Yes | 0, No | -9, Don't know",,,,,,"[ed100k_had_mens] = '1'",,,,,,
ed100k_age_nomen,ed_100k,,text,"How old were you when your periods stopped?",,,integer,0,100,,"[ed100k_stop_mens] = '1'",,,,,,
ed100k_nomen_dur_1,ed_100k,,dropdown,"For how long did your periods stop?","1, 1-3 months | 2, 4-6 months | 3, 7-11 months | 4, 1-2 years | 5, More than 2 years",,,,,,"[ed100k_stop_mens] = '1'",,,,,,
ed100k_nomen_dur_2,ed_100k,,text,"Number of years?",,,integer,0,120,,"[ed100k_nomen_dur_1] = '5'",,,,,,
ed100k_binge_lable,ed_100k,,descriptive,"Binge Eating",,,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_compul_eat,ed_100k,,yesno,"Have you ever had regular episodes of overeating or eating binges when you ate what most people would regard as an unusually large amount of food in a short period of time (for example, in a 2-hour period)?",,,,,,,,,,,,,
ed100k_be_control,ed_100k,,dropdown,"When you were having regularly occurring episodes of binge eating or overeating, 
did you feel that your eating was out of control such that you felt you could not stop eating or 
that you could not control what or how much you were eating?","1, No | 2, Slightly | 3, Somewhat | 4, Very | 5, Extremely | -9, Don't know/Prefer not to answer",,,,,,"[ed100k_compul_eat] = '1'",,,,,,
ed100k_be_eatfast,ed_100k,"During eating binges, did you:",radio,"Eat much more rapidly than usual?","1, yes | 0, no | -9, don't know",,,,,,"[ed100k_compul_eat] = '1'
and [ed100k_be_control] = '2' or [ed100k_be_control] = '3' or [ed100k_be_control] = '4' or [ed100k_be_control] = '5'",,,,ed100k_be_checklist,,
ed100k_be_full,ed_100k,,radio,"Eat until you felt uncomfortably full?","1, yes | 0, no | -9, don't know",,,,,,"[ed100k_compul_eat] = '1'
and [ed100k_be_control] = '2' or [ed100k_be_control] = '3' or [ed100k_be_control] = '4' or [ed100k_be_control] = '5'",,,,ed100k_be_checklist,,
ed100k_be_nohunger,ed_100k,,radio,"Eat large amounts of food when you didn't feel physically hungry?","1, yes | 0, no | -9, don't know",,,,,,"[ed100k_compul_eat] = '1'
and [ed100k_be_control] = '2' or [ed100k_be_control] = '3' or [ed100k_be_control] = '4' or [ed100k_be_control] = '5'",,,,ed100k_be_checklist,,
ed100k_be_alone,ed_100k,,radio,"Eat alone because you were embarrassed by what/how much you were eating?","1, yes | 0, no | -9, don't know",,,,,,"[ed100k_compul_eat] = '1'
and [ed100k_be_control] = '2' or [ed100k_be_control] = '3' or [ed100k_be_control] = '4' or [ed100k_be_control] = '5'",,,,ed100k_be_checklist,,
ed100k_be_be_guilt,ed_100k,,radio,"Feel ashamed/disgusted with yourself, depressed, or very guilty after overeating?","1, yes | 0, no | -9, don't know",,,,,,"[ed100k_compul_eat] = '1'
and [ed100k_be_control] = '2' or [ed100k_be_control] = '3' or [ed100k_be_control] = '4' or [ed100k_be_control] = '5'",,,,ed100k_be_checklist,,
ed100k_be_distress,ed_100k,,dropdown,"How distressed did binge eating usually make you feel?","1, Not at all | 2, Slightly | 3, Somewhat | 4, Very | 5, Extremely | -9, Don't know",,,,,,"[ed100k_compul_eat] = '1'
and [ed100k_be_control] = '2' or [ed100k_be_control] = '3' or [ed100k_be_control] = '4' or [ed100k_be_control] = '5'",,,,,,
ed100k_be_week,ed_100k,,dropdown,"When you were having regularly occurring episodes of binge eating, how many episodes would you usually experience in one week?","1, Less than once per week | 2, At least once per week | -9, Don't know",,,,,,"[ed100k_compul_eat] = '1'
and [ed100k_be_control] = '2' or [ed100k_be_control] = '3' or [ed100k_be_control] = '4' or [ed100k_be_control] = '5'",,,,,,
ed100k_be_week_num,ed_100k,,text,"Please enter Number of Times Per Week",,,integer,0,500,,"[ed100k_be_week] = '2'",,,,,,
ed100k_be_dur,ed_100k,,dropdown,"For how long did you experience regularly occurring binge-eating episodes?","1, Less than one month | 2, 1 to 2 months | 3, 3-5 months | 4, 6 months to 1 year | 5, Longer than 1 year | -9, Don't know",,,,,,"[ed100k_compul_eat] = '1'
and [ed100k_be_control] = '2' or [ed100k_be_control] = '3' or [ed100k_be_control] = '4' or [ed100k_be_control] = '5'",,,,,,
ed100k_be_depend,ed_100k,"During the time when you were binge eating, how dependent was your self-worth on your body shape or weight?",radio,Dependency,"1, 1 not at all dependent | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 completely dependent",,,,,,"[ed100k_compul_eat] = '1'
and [ed100k_be_control] = '2' or [ed100k_be_control] = '3' or [ed100k_be_control] = '4' or [ed100k_be_control] = '5'",,,,ed100k_be_selfworth,,
ed100k_be_agefirst,ed_100k,,text,"How old were you when you began having regular episodes of binge eating?",,,integer,0,100,,"[ed100k_compul_eat] = '1'
and [ed100k_be_control] = '2' or [ed100k_be_control] = '3' or [ed100k_be_control] = '4' or [ed100k_be_control] = '5'",,,,,,
ed100k_be_current,ed_100k,,dropdown,"Do you currently have regularly occurring binge-eating episodes?","1, Yes | 0, No | -9, Not sure",,,,,,"[ed100k_compul_eat] = '1'
and [ed100k_be_control] = '2' or [ed100k_be_control] = '3' or [ed100k_be_control] = '4' or [ed100k_be_control] = '5'",,,,,,
ed100k_be_agelast,ed_100k,,text,"Enter AGE when you last had a binge-eating episode.",,,integer,0,100,,"[ed100k_be_current] = '0'",,,,,,
ed100k_be_onlylowt,ed_100k,,dropdown,"Did you experience regular episodes of binge eating while at your lowest weight?","1, Yes, ONLY during times of low weight | 2, Yes, at times of low weight AND at times when I was not at low weight | 0, No",,,,,,"[ed100k_compul_eat] = '1'
and [ed100k_be_control] = '2' or [ed100k_be_control] = '3' or [ed100k_be_control] = '4' or [ed100k_be_control] = '5'
and [ed100k_currentbmi] <= 18.55 or [ed100k_an_bmi] <= 18.55",,,,,,
ed100k_icb_lable,ed_100k,,descriptive,ICB,,,,,,,,,,,,," @HIDDEN-SURVEY"
ed100k_vomit,ed_100k,"Have you ever used any of the following to control your body shape or weight?
",radio,"made yourself vomit","1, never | 2, a few times, but it never became a habit | 3, more often",,,,,,,,,,ed100k_icb,,
ed100k_laxatives,ed_100k,,radio,"Used laxatives (including pills or liquids meant to stimulate bowel movements)","1, never | 2, a few times, but it never became a habit | 3, more often",,,,,,,,,,ed100k_icb,,
ed100k_diuretics,ed_100k,,radio,"Used diuretics (water pills)","1, never | 2, a few times, but it never became a habit | 3, more often",,,,,,,,,,ed100k_icb,,
ed100k_dietpills,ed_100k,,radio,"Used diet pills (over the counter or prescription)","1, never | 2, a few times, but it never became a habit | 3, more often",,,,,,,,,,ed100k_icb,,
ed100k_exercise,ed_100k,,radio,"Exercised excessively (e.g., felt compelled to exercise, felt uneasy or distressed if unable to exercise)","1, never | 2, a few times, but it never became a habit | 3, more often",,,,,,,,,,ed100k_icb,,
ed100k_fast,ed_100k,,radio,"Fasted or not eaten for 8 waking hours or more","1, never | 2, a few times, but it never became a habit | 3, more often",,,,,,,,,,ed100k_icb,,
ed100k_other,ed_100k,,radio,Other,"1, never | 2, a few times, but it never became a habit | 3, more often",,,,,,,,,,ed100k_icb,,
ed100k_be_icb,ed_100k,,checkbox,"Have you ever used any of the following to compensate for episodes of binge eating or 
overeating?","1, made yourself vomit | 2, Used laxatives (including pills or liquids meant to stimulate bowel movements) | 3, Used diuretics (water pills) | 4, Used weight loss pills (over the counter or prescription) | 5, Exercised excessively (e.g., felt compelled to exercise, felt uneasy or distressed if unable to exercise) | 6, Fasted or not eaten for 8 waking hours or more | 7, Other methods | 0, none of the above",,,,,,"[ed100k_vomit] <> '1' or  [ed100k_laxatives] <> '1' or [ed100k_diuretics] <> '1' or [ed100k_dietpills] <> '1' or [ed100k_exercise] <> '1' or [ed100k_fast] <> '1' or [ed100k_other] <> '1'",,,,,,
ed100k_be_noicb,ed_100k,,dropdown,"Have you had periods of time that lasted three months or more when you had binge-
eating episodes without regularly engaging in any of the following: making yourself vomit, using 
laxatives, using diuretics, taking weight loss pills, exercising excessively (e.g., feeling compelled
to exercise, feeling uneasy or distressed if unable to exercise), or fasting or not eating for 8 
waking hours or more?","1, yes | 0, no",,,,,,"[ed100k_be_icb(1)] = '1' or [ed100k_be_icb(2)] = '1' or [ed100k_be_icb(3)] = '1' or [ed100k_be_icb(4)] = '1' or [ed100k_be_icb(5)] = '1' or [ed100k_be_icb(6)] = '1' or [ed100k_be_icb(7)] = '1'",,,,,,
ed100k_be_withicb,ed_100k,,dropdown,"Have you had periods of time that lasted three months or more when you had binge-
eating episodes AND regularly engaging in any of the following: making yourself vomit, using 
laxatives, using diuretics, taking weight loss pills, exercising excessively (e.g., feeling compelled
to exercise, feeling uneasy or distressed if unable to exercise), or fasting or not eating for 8 
waking hours or more?","1, yes | 0, no",,,,,,"[ed100k_be_icb(1)] = '1' or [ed100k_be_icb(2)] = '1' or [ed100k_be_icb(3)] = '1' or [ed100k_be_icb(4)] = '1' or [ed100k_be_icb(5)] = '1' or [ed100k_be_icb(6)] = '1' or [ed100k_be_icb(7)] = '1'",,,,,,
ed100k_be_icbsame,ed_100k,,dropdown,"Did the binge eating and compensatory behaviors occur at the same time, on 
average, once a week for 3 months?","1, Yes, there have been periods when I engaged in binge eating and compensatory behaviors at the same time, on average, once a week for 3 months | 0, no | -9, don't know",,,,,,"[ed100k_vomit] <> '1' or  [ed100k_laxatives] <> '1' or [ed100k_diuretics] <> '1' or [ed100k_dietpills] <> '1' or [ed100k_exercise] <> '1' or [ed100k_fast] <> '1' or [ed100k_other] <> '1'",,,,,,
ed100k_purging,ed_100k,,dropdown,"Was there ever a time when you made yourself vomit, used laxatives, or used diuretics,
on average, at least once a week for 3 months when you were not binge eating?","1, yes | 2, no | -9, Don't know",,,,,,"[ed100k_vomit] <> '1' or  [ed100k_laxatives] <> '1' or [ed100k_diuretics] <> '1' or [ed100k_dietpills] <> '1' or [ed100k_exercise] <> '1' or [ed100k_fast] <> '1' or [ed100k_other] <> '1'",,,,,,
ed100k_icb_lowt,ed_100k,,checkbox,"During the period of time when you were at your lowest weight, did you use any of the following as a way to control your weight or shape? (Mark all that apply).   ","1, made yourself vomit | 2, Used laxatives (including pills or liquids meant to stimulate bowel movements) | 3, Used diuretics (water pills) | 4, Used weight loss pills (over the counter or prescription) | 5, Exercised excessively (e.g., felt compelled to exercise, felt uneasy or distressed if unable to exercise) | 6, Fasted or not eaten for 8 waking hours or more | 7, other methods | 8, none of the above",,,,,,"[ed100k_currentbmi] <= 18.55 or [ed100k_an_bmi] <= 18.55",,,,,,
ed100k_icb_no_lowt,ed_100k,,dropdown,"Was there ever a time when you made yourself vomit, used laxatives, or used diuretics, on average, at least once a week for 3 months when you were NOT at low weight?","1, Yes, there have been times when I made myself vomit, used laxatives, or used diuretics when I was not at low weight. | 2, No, at times when I made myself vomit, used laxatives, or used diuretics, it was always during periods of low weight. | -9, Don't know",,,,,,"[ed100k_currentbmi] <= 18.55 or [ed100k_an_bmi] <= 18.55
and [ed100k_compul_eat] = '1'
and [ed100k_be_control] = '2' or [ed100k_be_control] = '3' or [ed100k_be_control] = '4' or [ed100k_be_control] = '5'
and [ed100k_vomit] = '2' or [ed100k_vomit] = '3' or [ed100k_laxatives] = '2' or [ed100k_laxatives] = '3' or [ed100k_diuretics] = '2' or [ed100k_diuretics] = '3'",,,,,,
ed100k_vomit_lable,ed_100k,,descriptive,Vomiting,,,,,,,,,,,,," @HIDDEN-SURVEY"
